цена;возраст;мощность;кузов
9800;19;163;не седан
1500;22;75;не седан
3600;15;69;не седан
650;28;102;не седан
2200;19;109;не седан
14500;9;125;не седан
999;25;101;не седан
2000;19;105;седан
2799;18;140;не седан
999;28;115;не седан
2500;19;131;не седан
17999;12;190;не седан
300;7;60;не седан
1750;19;75;не седан
7550;16;136;не седан
1850;19;102;не седан
10400;14;160;не седан
3699;21;231;седан
2900;5;90;не седан
450;26;50;не седан
500;33;118;седан
2500;21;193;не седан
5555;6;125;не седан
6900;15;99;седан
1990;42;50;не седан
690;20;60;не седан
3300;28;113;седан
899;7;60;не седан
18000;16;218;не седан
3500;19;122;седан
350;7;75;не седан
1600;32;75;не седан
11900;21;129;не седан
1500;39;70;не седан
7500;21;306;седан
12500;17;231;седан
6990;16;95;седан
3900;15;61;не седан
590;24;75;не седан
7999;16;177;седан
2100;25;193;не седан
7750;6;80;не седан
13500;11;109;не седан
14800;15;170;не седан
2000;6;90;не седан
1400;7;55;не седан
7999;15;143;седан
3000;17;61;не седан
2399;5;64;не седан
1000;25;101;седан
200;28;102;не седан
7499;19;232;седан
5500;13;60;не седан
7000;17;105;седан
14999;16;218;не седан
10900;6;101;не седан
9700;15;160;не седан
2100;23;105;не седан
1280;31;109;седан
2300;26;150;не седан
750;21;50;не седан
7999;15;156;не седан
6600;17;105;седан
7999;10;80;не седан
1400;20;82;не седан
800;23;90;не седан
5000;17;109;не седан
150;7;75;не седан
250;23;155;не седан
600;29;75;седан
3300;18;150;не седан
1600;26;122;не седан
8000;18;185;не седан
